tweet_text,polarity,URL
RT @GhostWhoVotes: #Newspoll VIC Andrews ALP: Approve 75 (+30 since November 2018) Disapprove 17 (-23) #springst #auspol,neutral,https://twitter.com/Mickyt65M/status/1254994862580985856
RT @SBS8news: [???] '???' 13? ?…? ?? ?? '??? MV' #SBS?? #???19 #covid19 https://t.co/MNYaAZkJum,neutral,https://twitter.com/ManC_Simon/status/1255058221754007554
@GrayingApostate This line was for the only open store in a shopping complex and it went past other ( closed ) busi… https://t.co/h5rPSWVVHn,neutral,https://twitter.com/GloriaNelson/status/1254963956369592320
RT @themarkjacka: We know that @AngusTaylorMP is corrupt.  We know that @AngusTaylorMP is very corrupt.  We just don’t know how corrupt @An…,neutral,https://twitter.com/JustSay32330928/status/1254979706870353921
"RT @bugwannostra: I see Dave Sharma's Qantas stock purchase hasn't made the evening news. In my opinion, it is the biggest political story…",neutral,https://twitter.com/maiyamcdono/status/1254944420220137473
"St Barbara $SBM 3Q update: - Gold production 91,547oz - Gold sold 99k oz - All in sustaining cost A$1,405/oz - Real… https://t.co/gSVqPAk27l",neutral,https://twitter.com/CommSec/status/1254926377079328768
RT @perkinsmiki: Orange-bellied parrots ???? wearing tiny backpacks. ????   Wire on a bird: Tiny backpack radios to keep track of rarest parrot h…,neutral,https://twitter.com/wombat_punch/status/1254942563515068417
@mrCarlWoodward Living for Lesley Manville ??,neutral,https://twitter.com/MrShaneMorgan/status/1255035555047448579
"RT @AaronDodd: Hey @DaveSharma, have you got any other hot stock tips for us? #auspol https://t.co/md0Qw4qJFn",neutral,https://twitter.com/Bishop64/status/1254991030031536134
https://t.co/5uAwjwlRez,neutral,https://twitter.com/Just_Westy/status/1254941299259486208
"RT @yeahvictoriaaa_: Hey Latrell, not everything is about race mate. Sometimes you’re just a fuckwit.",neutral,https://twitter.com/JediRocky/status/1254939429501722624
RT @ada__OG: The case of Imo state is baffling. They enforced lockdown in the state and indigenes adhered to it but the governor's aide att…,neutral,https://twitter.com/Homeleopard/status/1255061031887437824
"RT @gogoswift5: We never settle for less, Less  #NeverSettleForLessMusic #ibadan #covidsafe https://t.co/2mvQgsu8Q6",neutral,https://twitter.com/NaijaFlake/status/1255055975830228992
RT @cindyhydesmith: China has been untruthful and  unforthcoming since the beginning of this pandemic. We must hold them accountable for th…,neutral,https://twitter.com/bnzukenshi/status/1255039536138076160
??? https://t.co/MrnZHwl9zu,neutral,https://twitter.com/primal_species/status/1254928957797019648
RT @atensnut: I think this needs a retweet.  Don’t you? https://t.co/bEza0AsRfO,neutral,https://twitter.com/doypajarito/status/1254929745265000448
"RT @rhysam: It’s thongs at the moment. My show got cancelled. I am, however, a proud, lifelong union member (Platinum, no less). #proudlyun…",neutral,https://twitter.com/SunnySparks01/status/1255031750964572165
"RT @noplaceforsheep: Taylor's goons now claim the document was ""accessed"" not downloaded. Police still didn't find any trace of it so what…",neutral,https://twitter.com/AceventsRuth/status/1255045499452719105
@MangumBrian How are you?,neutral,https://twitter.com/an_leavy/status/1255061258967019520
RT @MikeHaydon: I shot a video demonstrating that the Australian Government's #CovidSafe app doesn't work on iPhones unless the app is the…,neutral,https://twitter.com/Chippa117/status/1254979285825122304
"RT @keenee__143: ???????? ?? ???? ?? ???,             ????????? ?? ?? ?????? ??????? ???????? ??? ???? ?? ????                ???? ????? ??? ??????  #?…",neutral,https://twitter.com/ugetprince/status/1255032038966640641
RT @IndiaTVHindi: ???? ?? ????? ?? ????? ?????? ?? ???? ??? ???? ????? @yogrishiramdev ?? ??? ?? ??? ???? ?? ??????? ???? ?? ??????  ???? 7…,neutral,https://twitter.com/YpAdalatYogi/status/1254939548020289539
RT @bruce_haigh: #auspol #COVID19Aus I have an uneasy feeling about easing lock down restrictions at the moment. Social and federal governm…,neutral,https://twitter.com/juliecorb/status/1254937481222344705
RT @Bowenchris: Angus Taylor said he downloaded the document from the Sydney City Council website. The NSW Police say that isn’t possible.…,neutral,https://twitter.com/edstil/status/1255042586487582725
RT @Bosslogic: ASSEMBLE! ???? ??  @Russo_Brothers @ChrisEvans @chrishemsworth @RobertDowneyJr @MarkRuffalo @MarvelStudios https://t.co/zmMVyW2…,neutral,https://twitter.com/Pantherravi/status/1254930510691745793
RT @anderjohann: Quick tip for those doing online meetings. https://t.co/3yjTtOc39r,neutral,https://twitter.com/JumpyWilcox/status/1254925413102440448
@australian Sack him!! #australian,neutral,https://twitter.com/blakeyseggs/status/1254968762748436480
https://t.co/TemArsy430 #COVID19Pandemic,neutral,https://twitter.com/PublishThe/status/1254994257082892289
RT @SadhnaP56155855: Aaj uski AK jhalk pr Mujhe mr jane do yaaron????????????????????????????? https://t.co/n8LSOt6btb,neutral,https://twitter.com/being_Ajay_/status/1255056148937531394
RT @m_majunju: https://t.co/7diC4juAcu,neutral,https://twitter.com/selfcestsenpai/status/1254937078548230145
RT @pamcgoo: Recruited by MI5: the name's Mussolini. Benito Mussolini https://t.co/iUo5D4XMge. Bent politicians are not a New Phenomenon.…,neutral,https://twitter.com/maliamum/status/1254924852299018240
RT @quieroserabuela: @ScienceNotDogma @GretaThunberg https://t.co/ll4giFhysc,neutral,https://twitter.com/5151mpk/status/1255030578107187201
RT @NickHaughain: NSW Young Labor is calling for @GladysB and the NSW Government to introduce industrial manslaughter laws in New South Wal…,neutral,https://twitter.com/tincan01/status/1255056567134633984
